environment,algorithm,seed,iteration,loss,l1_dist,n_modes_found,n_terminating_states
original,LogPartitionVarianceGFlowNet,14,84,0.6867618560791016,0.0035836752504110336,4,2688
original,LogPartitionVarianceGFlowNet,14,85,1.7847020626068115,0.0035836752504110336,4,2720
original,LogPartitionVarianceGFlowNet,14,86,0.9200164079666138,0.0035836752504110336,4,2752
original,LogPartitionVarianceGFlowNet,14,87,0.8369149565696716,0.0035836752504110336,4,2784
original,LogPartitionVarianceGFlowNet,14,88,0.5882909893989563,0.0035836752504110336,4,2816
original,LogPartitionVarianceGFlowNet,14,89,0.481496661901474,0.0035836752504110336,4,2848
original,LogPartitionVarianceGFlowNet,14,90,0.45720362663269043,0.0035836752504110336,4,2880
original,LogPartitionVarianceGFlowNet,14,91,0.56169593334198,0.0035836752504110336,4,2912
original,LogPartitionVarianceGFlowNet,14,92,0.5282952785491943,0.0035836752504110336,4,2944
original,LogPartitionVarianceGFlowNet,14,93,0.595867395401001,0.0035836752504110336,4,2976
original,LogPartitionVarianceGFlowNet,14,94,0.7175676822662354,0.0035836752504110336,4,3008
original,LogPartitionVarianceGFlowNet,14,95,0.561844527721405,0.0035836752504110336,4,3040
original,LogPartitionVarianceGFlowNet,14,96,0.50688236951828,0.0035836752504110336,4,3072
original,LogPartitionVarianceGFlowNet,14,97,0.40928030014038086,0.0035836752504110336,4,3104
original,LogPartitionVarianceGFlowNet,14,98,0.5799986124038696,0.0035836752504110336,4,3136
original,LogPartitionVarianceGFlowNet,14,99,0.4166743755340576,0.0035836752504110336,4,3168
original,LogPartitionVarianceGFlowNet,14,100,0.47560015320777893,0.0028509742114692926,4,3200
original,LogPartitionVarianceGFlowNet,21,1,1.6178478002548218,inf,1,32
original,LogPartitionVarianceGFlowNet,21,2,1.6316723823547363,inf,1,64
original,LogPartitionVarianceGFlowNet,21,3,1.8750925064086914,inf,1,96
original,LogPartitionVarianceGFlowNet,21,4,1.5549871921539307,inf,1,128
original,LogPartitionVarianceGFlowNet,21,5,1.1190321445465088,inf,1,160
original,LogPartitionVarianceGFlowNet,21,6,1.059028148651123,inf,1,192
original,LogPartitionVarianceGFlowNet,21,7,1.777666687965393,inf,1,224
original,LogPartitionVarianceGFlowNet,21,8,0.9608949422836304,inf,1,256
original,LogPartitionVarianceGFlowNet,21,9,0.9873074889183044,inf,1,288
original,LogPartitionVarianceGFlowNet,21,10,1.8760504722595215,inf,1,320
original,LogPartitionVarianceGFlowNet,21,11,0.968885064125061,inf,1,352
original,LogPartitionVarianceGFlowNet,21,12,0.7749531269073486,inf,1,384
original,LogPartitionVarianceGFlowNet,21,13,2.1648566722869873,inf,1,416
original,LogPartitionVarianceGFlowNet,21,14,1.3971447944641113,inf,1,448
original,LogPartitionVarianceGFlowNet,21,15,1.4318013191223145,inf,1,480
original,LogPartitionVarianceGFlowNet,21,16,1.5706844329833984,inf,1,512
original,LogPartitionVarianceGFlowNet,21,17,1.0267177820205688,inf,1,544
original,LogPartitionVarianceGFlowNet,21,18,2.033543109893799,inf,1,576
original,LogPartitionVarianceGFlowNet,21,19,1.4773313999176025,inf,1,608
original,LogPartitionVarianceGFlowNet,21,20,0.7253888249397278,inf,1,640
original,LogPartitionVarianceGFlowNet,21,21,0.511918306350708,inf,1,672
original,LogPartitionVarianceGFlowNet,21,22,0.748041033744812,inf,1,704
original,LogPartitionVarianceGFlowNet,21,23,0.6955938339233398,inf,1,736
original,LogPartitionVarianceGFlowNet,21,24,0.9340142011642456,inf,1,768
original,LogPartitionVarianceGFlowNet,21,25,1.654495120048523,0.004950695671141148,1,800
original,LogPartitionVarianceGFlowNet,21,26,1.2104520797729492,0.004950695671141148,1,832
original,LogPartitionVarianceGFlowNet,21,27,0.35818159580230713,0.004950695671141148,1,864
original,LogPartitionVarianceGFlowNet,21,28,0.8978544473648071,0.004950695671141148,1,896
original,LogPartitionVarianceGFlowNet,21,29,0.4007810354232788,0.004950695671141148,1,928
original,LogPartitionVarianceGFlowNet,21,30,1.9792243242263794,0.004950695671141148,1,960
original,LogPartitionVarianceGFlowNet,21,31,1.008009910583496,0.004950695671141148,1,992
original,LogPartitionVarianceGFlowNet,21,32,0.5962576866149902,0.004950695671141148,1,1024
original,LogPartitionVarianceGFlowNet,21,33,0.594171404838562,0.004950695671141148,1,1056
original,LogPartitionVarianceGFlowNet,21,34,1.0034310817718506,0.004950695671141148,1,1088
original,LogPartitionVarianceGFlowNet,21,35,1.9516934156417847,0.004950695671141148,1,1120
original,LogPartitionVarianceGFlowNet,21,36,0.6131244897842407,0.004950695671141148,1,1152
original,LogPartitionVarianceGFlowNet,21,37,1.2650916576385498,0.004950695671141148,1,1184
original,LogPartitionVarianceGFlowNet,21,38,1.0823454856872559,0.004950695671141148,2,1216
original,LogPartitionVarianceGFlowNet,21,39,0.6289752125740051,0.004950695671141148,2,1248
original,LogPartitionVarianceGFlowNet,21,40,1.06612229347229,0.004950695671141148,2,1280
original,LogPartitionVarianceGFlowNet,21,41,1.161914348602295,0.004950695671141148,2,1312
original,LogPartitionVarianceGFlowNet,21,42,1.594468355178833,0.004950695671141148,3,1344
original,LogPartitionVarianceGFlowNet,21,43,1.2874780893325806,0.004950695671141148,3,1376
original,LogPartitionVarianceGFlowNet,21,44,0.49072691798210144,0.004950695671141148,3,1408
original,LogPartitionVarianceGFlowNet,21,45,0.4589971899986267,0.004950695671141148,3,1440
original,LogPartitionVarianceGFlowNet,21,46,0.601555585861206,0.004950695671141148,3,1472
original,LogPartitionVarianceGFlowNet,21,47,1.657623291015625,0.004950695671141148,3,1504
original,LogPartitionVarianceGFlowNet,21,48,1.5411322116851807,0.004950695671141148,3,1536
original,LogPartitionVarianceGFlowNet,21,49,1.114591360092163,0.004950695671141148,3,1568
original,LogPartitionVarianceGFlowNet,21,50,1.0599250793457031,0.004229587037116289,3,1600
original,LogPartitionVarianceGFlowNet,21,51,0.7214949727058411,0.004229587037116289,3,1632
